Page,Page Title,Pageviews,Unique Pageviews,Avg. Time on Screen
/,Barbados Island Destination Guide - Totally Barbados,10252,7427,0.00
/articles/labour-and-employment-environment/finding-a-job-in-barbados/,Finding a job in Barbados - Totally Barbados,7745,4894,0.00
/articles/barbados-recipes/rum-punch-recipe/,Rum Punch Recipe - Totally Barbados,7251,6636,0.00
/barbados-events-calendar/,All Barbados Events - Totally Barbados,6741,4524,0.00
/articles/barbados-recipes/,Barbados Recipes Guide - Totally Barbados,5614,3317,0.00
/articles/entertainment/night-clubs/barbados-weekly-nightlife-guide/,Barbados Weekly Nightlife Guide - Totally Barbados,4584,3875,0.00
/articles/shopping/airport-shopping/,Airport Shopping - Totally Barbados,4256,3248,0.00
/articles/barbados-recipes/macaroni-pie-recipe/,Macaroni Pie Recipe - Totally Barbados,4100,3718,0.00
/place/colombian-emeralds-international/,Colombian Emeralds International - Totally Barbados,3776,3420,0.00
/articles/labour-and-employment-environment/acquiring-a-barbados-work-permit/,Acquiring a Barbados Work Permit - Totally Barbados,3513,2840,0.00
/articles/barbados-recipes/bajan-sweet-bread/,Bajan Sweet Bread Recipe - Totally Barbados,3300,2831,0.00
/articles/shopping/duty-free-shopping/,Duty Free Shopping - Totally Barbados,3006,2581,0.00
/articles/towns-places-interest/st-lawrence-gap/,St Lawrence Gap - Totally Barbados,2943,2640,0.00
/articles/barbados-recipes/chicken-potato-roti-recipe/,Chicken and Potato Roti Recipe - Totally Barbados,2707,2457,0.00
/articles/travel/immigration-requirements/,Immigration Requirements - Totally Barbados,2532,2107,0.00
/articles/top-10-barbados-delicacies/,Top 10 Barbados Delicacies - Totally Barbados,2384,2134,0.00
/articles/about-barbados/people/barbados-national-heroes/errol-walton-barrow/,National Hero of Barbados - Errol Walton Barrow - Totally Barbados,2370,1884,0.00
/articles/about-barbados/culture/dialect/,Dialect of Barbados - Totally Barbados,2367,2144,0.00
/articles/financial-sector/banks-in-barbados/,Banks in Barbados - Totally Barbados,2363,2058,0.00
/articles/living-in-barbados/moving-to-barbados/,Moving to Barbados - Totally Barbados,2360,1974,0.00
/articles/about-barbados/barbados-food/,Barbados Food - Totally Barbados,2242,1982,0.00
