Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Active_Listing_Count__c,Planned_Listing_Count__c,Page_URL__c,Page_Ranking__c,Page_Views__c,Page_Price__c,Page_Observation__c,Page_Notes__c,Avg_Time_On_Page__c,Unique_Page_Title__c,Unique_Page_Views__c,Last_Updated__c,Status__c,PreviewYears_Page_View__c,Page_View_2005_2006__c,Page_View_2006_2007__c,Page_View_2007_2008__c,Page_View_2008_2009__c,Page_View_2009_2010__c,Page_View_2010_2011__c,Page_View_2012_2013__c,Page_View_2011_2012__c,Page_View_2013_2014__c,Page_View_2014_2015__c,Old_URL__c,Page_View_2015_2016__c,Page_View_Nov_22nd_2016_Mar_21_212017__c,Page_View_2016_2017__c
a0640000002jYWAAA2,00540000000sI3HAAU,0,Barbados Island Destination Guide - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,8/11/2017 14:22,00540000000wPF9AAM,8/12/2017 12:29,0,0,https://www.totallybarbados.com/,1,34267,1000,Available 2017,,67.57,Barbados Island Destination Guide - Totally Barbados,,8/11/2017 0:00,9 Months Updated,,4174,79829,76119,56926,84573,87190,30696,84175,18299,56912,,34267,11785,
a0640000002jYWBAA2,00540000000sI3HAAU,0,Barbados Accommodation - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:15,00540000000wPF9AAM,7/2/2017 1:06,10,0,https://www.totallybarbados.com/articles/accommodation/,31,916,200,Available,,36.62,Barbados Accommodation - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,8434,3596,26995,20632,26428,27572,11201,18219,6267,9642,http://www.totallybarbados.com/barbados/Accommodation/,111111,916,
a0640000002jYWCAA2,00540000000sI3HAAU,0,Photo Gallery - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:20,00540000000wPF9AAM,7/2/2017 1:06,2,0,https://www.totallybarbados.com/photo-gallery/,49,650,200,Available,,39.69,Photo Gallery - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,5671,,,,26900,18305,6318,10610,2484,4048,https://www.totallybarbados.com/barbados-photos/,,650,
a0640000002jYWDAA2,00540000000sI3HAAU,0,Barbados Recipes - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 21:01,00540000000wPF9AAM,7/2/2017 1:06,3,0,https://www.totallybarbados.com/articles/barbados-recipes/,1,3687,200,Available,,41.61,Barbados Recipes - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,1098,10775,21266,25935,27255,25198,25192,30060,22221,49397,https://www.totallybarbados.com/articles/barbados-recipes/,,3687,
a0640000002jYWEAA2,00540000000sI3HAAU,0,About Barbados at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 15:08,00540000002mQ18AAE,7/2/2017 2:00,6,0,https://www.totallybarbados.com/barbados/About_Barbados/,46,6763,480,Available,,90.29,About Barbados at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,5396,24346,24883,16557,17924,16954,6548,9420,3618,6763,,,,
a0640000002jYWFAA2,00540000000sI3HAAU,0,Maps - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:23,00540000000wPF9AAM,7/2/2017 2:00,5,0,https://www.totallybarbados.com/articles/about-barbados/maps/,198,176,200,Available,,78.23,Maps - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,3700,25300,19385,14791,19368,20918,8937,19432,4288,7422,https://www.totallybarbados.com/interactive-google-map/,,176,
a0640000002jYWGAA2,00540000000sI3HAAU,0,Restaurants at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,8/31/2017 16:20,00540000000wPF9AAM,8/31/2017 16:20,4,0,https://www.totallybarbados.com/articles/places-to-eat/,42,7383,480,Available,,38.05,Restaurants at Totally Barbados,,11/5/2015 0:00,,,1773,17536,20443,14095,17790,18335,8021,13069,4141,7383,https://www.totallybarbados.com/barbados/Entertainment/Restaurants/,,9999,
a0640000002jYWHAA2,00540000000sI3HAAU,0,Entertainment and Nightlife - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,8/19/2017 21:48,00540000000wPF9AAM,8/20/2017 11:34,4,0,https://www.totallybarbados.com/articles/entertainment/,87,2117,200,Available 2017,,57.03,Entertainment and Nightlife - Totally Barbados,,8/19/2017 0:00,9 Months Updated,,2227,16867,16833,14248,18638,19865,5820,10337,2727,4857,https://www.totallybarbados.com/barbados/Entertainment/,2117,904,
a0640000002jYWIAA2,00540000000sI3HAAU,0,Barbados Beaches Photo Gallery at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 15:16,00540000002mQ18AAE,3/13/2017 15:16,1,0,https://www.totallybarbados.com/barbados-photos/Beach_Photos/,286,776,480,Available,,26.52,Barbados Beaches Photo Gallery at Totally Barbados,,11/5/2015 0:00,,,,,,77,5642,3314,1468,2452,459,776,,,,
a0640000002jYWJAA2,00540000000sI3HAAU,0,Barbados Map Images Photo Gallery at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,2/7/2016 0:18,00540000002mQ18AAE,7/2/2017 2:00,2,0,https://www.totallybarbados.com/barbados-photos/Map_Images/,88,3481,480,Available,,19.95,Barbados Map Images Photo Gallery at Totally Barbados,,11/5/2015 0:00,,,3660,,,125,7728,8350,4186,8505,2168,3481,,,,
