id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jx2bAAA,143,108,0
a0640000002jx2cAAA,28,22,0
a0640000002jx2dAAA,50,43,0
a0640000002jx2eAAA,5,3,0
a0640000002jx2iAAA,6,5,0
a0640000002jx2jAAA,15,12,0
a0640000002jx2kAAA,38,32,0
a0640000002jx2lAAA,41,35,0
a0640000002jx2mAAA,,,
a0640000002jx2nAAA,18,15,0
a0640000002jx2oAAA,17,14,0
a0640000002jx2pAAA,,,
a0640000002jx2qAAA,11,5,0
a0640000002jx2rAAA,,,
a0640000002jx2sAAA,,,
a0640000002jx2tAAA,188,159,0
a0640000002jx2uAAA,363,320,0
a0640000002jx2vAAA,,,
a0640000002jx2wAAA,1025,425,0
a0640000002jx2yAAA,627,358,0
a0640000002jx2zAAA,288,134,0
a0640000002jx30AAA,66,56,0
a0640000002jx31AAA,23,15,0
a0640000002jx32AAA,53,25,0
a0640000002jx33AAA,42,34,0
a0640000002jx34AAA,38,34,0
a0640000002jx35AAA,20,19,0
a0640000002jx36AAA,280,251,0
a0640000002jx37AAA,321,169,0
a0640000002jx38AAA,,,
a0640000002jx3aAAA,43,36,0
a0640000002jx3AAAQ,,,
a0640000002jx3bAAA,,,
a0640000002jx3BAAQ,320,153,0
a0640000002jx3cAAA,,,
a0640000002jx3CAAQ,,,
a0640000002jx3dAAA,14,10,0
a0640000002jx3DAAQ,,,
a0640000002jx3eAAA,236,109,0
a0640000002jx3EAAQ,15,11,0
a0640000002jx3fAAA,58,52,0
a0640000002jx3FAAQ,,,
a0640000002jx3gAAA,,,
a0640000002jx3GAAQ,13,11,0
a0640000002jx3hAAA,,,
a0640000002jx3HAAQ,9,8,0
a0640000002jx3iAAA,,,
a0640000002jx3IAAQ,,,
a0640000002jx3jAAA,341,199,0
a0640000002jx3JAAQ,9,7,0
a0640000002jx3kAAA,13,11,0
a0640000002jx3KAAQ,38,29,0
a0640000002jx3lAAA,8,8,0
a0640000002jx3LAAQ,29,23,0
a0640000002jx3mAAA,68,37,0
a0640000002jx3MAAQ,,,
a0640000002jx3nAAA,582,496,0
a0640000002jx3NAAQ,384,194,0
a0640000002jx3oAAA,28,22,0
a0640000002jx3OAAQ,,,
a0640000002jx3pAAA,347,177,0
a0640000002jx3PAAQ,19,15,0
a0640000002jx3qAAA,,,
a0640000002jx3QAAQ,14,12,0
a0640000002jx3rAAA,103,60,0
a0640000002jx3RAAQ,107,98,0
a0640000002jx3sAAA,7,6,0
a0640000002jx3SAAQ,67,54,0
a0640000002jx3tAAA,614,368,0
a0640000002jx3TAAQ,8,6,0
a0640000002jx3uAAA,52,48,0
a0640000002jx3UAAQ,49,39,0
a0640000002jx3vAAA,20,15,0
a0640000002jx3VAAQ,7,6,0
a0640000002jx3xAAA,79,34,0
a0640000002jx3XAAQ,13,13,0
a0640000002jx3yAAA,6,5,0
a0640000002jx3YAAQ,88,41,0
a0640000002jx3zAAA,,,
a0640000002jx3ZAAQ,,,
a0640000002jx40AAA,6,4,0
a0640000002jx41AAA,500,237,0
a0640000002jx42AAA,,,
a0640000002jx43AAA,10,8,0
a0640000002jx44AAA,89,81,0
a0640000002jx46AAA,47,25,0
a0640000002jx47AAA,22,17,0
a0640000002jx48AAA,22,8,0
a0640000002jx49AAA,9,8,0
a0640000002jx4aAAA,,,
a0640000002jx4AAAQ,214,111,0
a0640000002jx4bAAA,,,
a0640000002jx4BAAQ,,,
a0640000002jx4cAAA,34,32,0
a0640000002jx4CAAQ,148,77,0
a0640000002jx4dAAA,10,9,0
a0640000002jx4DAAQ,,,
a0640000002jx4eAAA,,,
a0640000002jx4EAAQ,,,
a0640000002jx4fAAA,21,17,0
a0640000002jx4FAAQ,180,78,0
a0640000002jx4gAAA,,,
a0640000002jx4GAAQ,,,
a0640000002jx4hAAA,,,
a0640000002jx4HAAQ,,,
a0640000002jx4IAAQ,464,241,0
a0640000002jx4jAAA,82,40,0
a0640000002jx4JAAQ,,,
a0640000002jx4kAAA,,,
a0640000002jx4KAAQ,,,
a0640000002jx4lAAA,23,14,0
a0640000002jx4LAAQ,,,
a0640000002jx4mAAA,,,
a0640000002jx4MAAQ,10,3,0
a0640000002jx4nAAA,,,
a0640000002jx4NAAQ,13,12,0
a0640000002jx4OAAQ,31,23,0
a0640000002jx4pAAA,39,35,0
a0640000002jx4PAAQ,,,
a0640000002jx4QAAQ,,,
a0640000002jx4rAAA,,,
a0640000002jx4RAAQ,,,
a0640000002jx4sAAA,14,9,0
a0640000002jx4SAAQ,47,41,0
a0640000002jx4tAAA,,,
a0640000002jx4TAAQ,471,242,0
a0640000002jx4uAAA,,,
a0640000002jx4UAAQ,27,21,0
a0640000002jx4vAAA,6,4,0
a0640000002jx4VAAQ,458,289,0
a0640000002jx4wAAA,,,
a0640000002jx4WAAQ,32,26,0
a0640000002jx4xAAA,9,8,0
a0640000002jx4XAAQ,552,224,0
a0640000002jx4yAAA,,,
a0640000002jx4YAAQ,7,7,0
a0640000002jx4zAAA,,,
a0640000002jx50AAA,,,
a0640000002jx51AAA,201,100,0
a0640000002jx52AAA,,,
a0640000002jx53AAA,,,
a0640000002jx54AAA,5,4,0
a0640000002jx55AAA,39,30,0
a0640000002jx56AAA,12,9,0
a0640000002jx57AAA,,,
a0640000002jx58AAA,49,43,0
a0640000002jx59AAA,,,
a0640000002jx5aAAA,,,
a0640000002jx5AAAQ,,,
a0640000002jx5bAAA,30,28,0
a0640000002jx5BAAQ,72,35,0
a0640000002jx5cAAA,100,52,0
a0640000002jx5CAAQ,39,31,0
a0640000002jx5dAAA,6,5,0
a0640000002jx5DAAQ,,,
a0640000002jx5eAAA,949,502,0
a0640000002jx5EAAQ,,,
a0640000002jx5fAAA,,,
